#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
2A|REF04||GLE|M|1000.0|2018-01-10T00:03:13.000000Z|2018-01-10T00:03:22.970000Z
2A|REF04||GLE|M|1000.0|2018-01-10T00:04:41.000000Z|2018-01-10T16:59:59.995000Z
2A|REF04||GLE|M|1000.0|2018-01-10T17:00:00.000000Z|2018-01-11T00:03:17.499000Z
2A|REF04||GLE|M|1000.0|2018-01-11T00:03:57.000000Z|2018-01-11T00:04:06.970000Z
2A|REF04||GLE|M|1000.0|2018-01-11T00:05:31.000000Z|2018-01-12T00:02:35.749000Z
2A|REF04||GLE|M|1000.0|2018-01-12T00:03:15.000000Z|2018-01-12T00:03:24.970000Z
2A|REF04||GLE|M|1000.0|2018-01-12T00:04:54.000000Z|2018-01-14T08:59:59.953000Z
2A|REF04||GLE|M|1000.0|2018-01-14T09:00:00.000000Z|2018-01-16T08:59:59.945000Z
2A|REF04||GLE|M|1000.0|2018-01-16T09:00:00.000000Z|2018-01-16T20:59:59.945000Z
2A|REF04||GLE|M|1000.0|2018-01-16T21:00:00.000000Z|2018-01-16T21:59:59.947000Z
2A|REF04||GLE|M|1000.0|2018-01-16T22:00:00.000000Z|2018-01-18T00:00:23.749000Z
2A|REF04||GLE|M|1000.0|2018-01-18T00:00:38.750000Z|2018-01-18T00:01:23.749000Z
2A|REF04||GLE|M|1000.0|2018-01-18T00:02:07.000000Z|2018-01-18T00:02:21.528000Z
2A|REF04||GLE|M|1000.0|2018-01-18T00:02:22.529000Z|2018-01-18T00:02:39.528000Z
2A|REF04||GLE|M|1000.0|2018-01-18T00:02:40.000000Z|2018-01-19T00:02:49.499000Z
2A|REF04||GLE|M|1000.0|2018-01-19T00:03:30.000000Z|2018-01-19T00:03:44.527000Z
2A|REF04||GLE|M|1000.0|2018-01-19T00:03:45.528000Z|2018-01-19T00:04:02.527000Z
2A|REF04||GLE|M|1000.0|2018-01-19T00:04:03.000000Z|2018-01-19T06:59:59.989000Z
2A|REF04||GLE|M|1000.0|2018-01-19T07:00:00.000000Z|2018-01-20T00:02:14.499000Z
2A|REF04||GLE|M|1000.0|2018-01-20T00:02:55.000000Z|2018-01-20T00:03:09.533000Z
2A|REF04||GLE|M|1000.0|2018-01-20T00:03:10.534000Z|2018-01-20T00:03:27.533000Z
2A|REF04||GLE|M|1000.0|2018-01-20T00:03:28.000000Z|2018-01-21T00:02:57.749000Z
2A|REF04||GLE|M|1000.0|2018-01-21T00:03:38.000000Z|2018-01-21T00:03:52.527000Z
2A|REF04||GLE|M|1000.0|2018-01-21T00:03:53.528000Z|2018-01-21T00:04:10.527000Z
2A|REF04||GLE|M|1000.0|2018-01-21T00:04:11.000000Z|2018-01-21T19:59:59.975000Z
2A|REF04||GLE|M|1000.0|2018-01-21T20:00:00.000000Z|2018-01-21T23:58:46.499000Z
2A|REF04||GLE|M|1000.0|2018-01-21T23:58:50.500000Z|2018-01-22T00:03:08.499000Z
2A|REF04||GLE|M|1000.0|2018-01-22T00:03:49.000000Z|2018-01-22T00:04:03.498000Z
2A|REF04||GLE|M|1000.0|2018-01-22T00:04:42.000000Z|2018-01-23T00:04:04.499000Z
2A|REF04||GLE|M|1000.0|2018-01-23T00:04:45.000000Z|2018-01-23T00:04:54.970000Z
2A|REF04||GLE|M|1000.0|2018-01-23T00:06:08.000000Z|2018-01-23T05:59:59.967000Z
2A|REF04||GLE|M|1000.0|2018-01-23T06:00:00.000000Z|2018-01-24T00:04:02.749000Z
2A|REF04||GLE|M|1000.0|2018-01-24T00:04:43.000000Z|2018-01-24T00:04:52.970000Z
2A|REF04||GLE|M|1000.0|2018-01-24T00:06:11.000000Z|2018-01-25T00:01:20.499000Z
2A|REF04||GLE|M|1000.0|2018-01-25T00:02:01.000000Z|2018-01-25T00:02:10.970000Z
2A|REF04||GLE|M|1000.0|2018-01-25T00:03:37.000000Z|2018-01-26T00:03:07.749000Z
2A|REF04||GLE|M|1000.0|2018-01-26T00:03:48.000000Z|2018-01-26T00:03:57.970000Z
2A|REF04||GLE|M|1000.0|2018-01-26T00:05:27.000000Z|2018-01-27T00:04:22.749000Z
2A|REF04||GLE|M|1000.0|2018-01-27T00:05:03.000000Z|2018-01-27T00:05:11.970000Z
2A|REF04||GLE|M|1000.0|2018-01-27T00:06:46.000000Z|2018-01-27T05:31:52.499000Z
2A|REF04||GLN|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-02T06:59:59.963000Z
2A|REF04||GLN|M|1000.0|2018-01-02T07:00:00.000000Z|2018-01-03T13:59:59.980000Z
2A|REF04||GLN|M|1000.0|2018-01-03T14:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF04||GLN|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T00:02:31.499000Z
2A|REF04||GLN|M|1000.0|2018-01-05T00:03:12.000000Z|2018-01-05T00:03:26.532000Z
2A|REF04||GLN|M|1000.0|2018-01-05T00:03:27.533000Z|2018-01-05T00:03:44.532000Z
2A|REF04||GLN|M|1000.0|2018-01-05T00:03:45.000000Z|2018-01-06T00:02:27.749000Z
2A|REF04||GLN|M|1000.0|2018-01-06T00:03:08.000000Z|2018-01-06T00:03:22.530000Z
2A|REF04||GLN|M|1000.0|2018-01-06T00:03:23.531000Z|2018-01-06T00:03:40.530000Z
2A|REF04||GLN|M|1000.0|2018-01-06T00:03:41.000000Z|2018-01-06T01:59:59.945000Z
2A|REF04||GLN|M|1000.0|2018-01-06T02:00:00.000000Z|2018-01-06T23:59:59.977000Z
2A|REF04||GLN|M|1000.0|2018-01-07T00:00:00.000000Z|2018-01-07T00:02:48.749000Z
2A|REF04||GLN|M|1000.0|2018-01-07T00:03:29.000000Z|2018-01-07T00:03:43.527000Z
2A|REF04||GLN|M|1000.0|2018-01-07T00:03:44.528000Z|2018-01-07T00:04:01.527000Z
2A|REF04||GLN|M|1000.0|2018-01-07T00:04:02.000000Z|2018-01-07T02:59:59.949000Z
2A|REF04||GLN|M|1000.0|2018-01-07T03:00:00.000000Z|2018-01-07T23:58:53.499000Z
2A|REF04||GLN|M|1000.0|2018-01-07T23:59:04.500000Z|2018-01-08T00:03:15.499000Z
2A|REF04||GLN|M|1000.0|2018-01-08T00:03:57.000000Z|2018-01-08T00:04:11.532000Z
2A|REF04||GLN|M|1000.0|2018-01-08T00:04:12.533000Z|2018-01-08T00:04:19.503000Z
2A|REF04||GLN|M|1000.0|2018-01-08T00:04:49.000000Z|2018-01-09T00:02:32.749000Z
